quarter,company,company_name,net_sales_ytd,gross_profit_ytd,operating_profit_ytd,net_profit_ytd,ebitda_ytd,gross_margin,operating_margin,net_margin,ebitda_margin,net_sales_ytd_yoy,net_profit_ytd_yoy,ebitda_ytd_yoy,deflator,cpi_index,net_sales_ttm,net_sales_ttm_real,total_assets
2021Q1,BIMAS,BİM,15501646000.0,2853257000.0,948358000.0,684567000.0,1355728000.0,18.406155062501103,6.117789039950983,4.416092329808073,8.745703520774503,23.052218769011535,59.0496060741942,35.51493512270261,6.711140194942744,1.3288197281645824,58399394000.0,391926520433.6981,24180900000.0
2021Q2,BIMAS,BİM,32664892000.0,6076210000.0,2046501000.0,1416243000.0,2902431000.0,18.601653420436843,6.265139342876138,4.335673297190145,8.885475574203644,22.679902794681084,25.573273087419835,23.129458908994028,6.417531697820498,1.389614560462068,61534141000.0,394897300365.6559,25082679000.0
2021Q3,BIMAS,BİM,50122131000.0,9357790000.0,3141850000.0,2308592000.0,4445305000.0,18.66997634238656,6.268388708373153,4.6059334548245765,8.868946533817565,24.724653168476184,29.57999456666944,23.34077119179243,6.157269341166413,1.4483523450719866,65431269000.0,402877946567.3123,26827937000.0
2021Q4,BIMAS,BİM,70698507000.0,13460030000.0,4123282000.0,2950710000.0,5925940000.0,19.038634012455173,5.832205197770301,4.173652493114176,8.381987472521873,27.395338825059333,13.192152108991252,14.941164307982602,5.1150093943262815,1.743475876976924,70698507000.0,361623527469.84235,30412122000.0
2022Q1,BIMAS,BİM,27313940000.0,5067653000.0,1802737000.0,1344211000.0,2359181000.0,18.553357736013183,6.600062092836112,4.921336870477126,8.637278254254054,76.20025641148042,96.35930449466596,74.01580553031286,4.165257823313482,2.141018843924526,82510801000.0,343678759373.1119,37543557000.0
2022Q2,BIMAS,BİM,61449339000.0,11221187000.0,4069875000.0,3027652000.0,5225544000.0,18.260875027475883,6.623138777782459,4.9270700861403895,8.503824589553355,88.12044135948773,113.7805447229042,80.04024901883973,3.593430564923052,2.4817219446423846,99482954000.0,357485087592.434,42486582000.0
2022Q3,BIMAS,BİM,102620448000.0,18496317000.0,6372474000.0,4805266000.0,8194437000.0,18.02400726217839,6.20975071167103,4.682561900333938,7.985189267542468,104.74079204653131,108.1470437392142,84.33913983404963,3.3563503371489034,2.657021643662397,123196824000.0,413491701768.0741,48269849000.0
2022Q4,BIMAS,BİM,279252910000.0,42070565000.0,5801538000.0,16599432000.0,13923368000.0,15.065398960390421,2.0775210543016365,5.944228835430936,4.985934792944503,294.9912407626939,462.5572150431591,134.95627697884217,3.1141067440387884,2.8637089934663913,279252910000.0,869623370323.4568,126100954000.0
2023Q1,BIMAS,BİM,96077514000.0,14631146000.0,11002000.0,1250558000.0,3109416000.0,15.22848103667628,0.011451170562135902,1.3016136116927421,3.2363618400867447,251.75267281102614,-6.967135367884958,31.80065454918466,2.7673890892301944,3.222494272389761,348016484000.0,963097020693.8545,76030222000.0
2023Q2,BIMAS,BİM,197577993000.0,30549126000.0,1503081000.0,5232614000.0,8341107000.0,15.461806011968143,0.7607532484652783,2.6483789619221407,4.221678170402308,221.52989147694493,72.82745837368363,59.62179248705972,2.599799525933457,3.430224292512036,415381564000.0,1079908793168.698,83649126000.0
2023Q3,BIMAS,BİM,330890598000.0,54977999000.0,6125663000.0,13291367000.0,17235921000.0,16.615159007932885,1.8512653538738506,4.016846377726332,5.208948548003168,222.4411941760379,176.6000258882651,110.3368541365319,2.0779085547065246,4.291765135341938,507523060000.0,1054586508084.8328,99427700000.0
2023Q4,BIMAS,BİM,474200415000.0,74618783000.0,5717514000.0,22299719000.0,20721846000.0,15.73570596727546,1.205716785380713,4.702593733495573,4.369849823939948,69.81037547648117,34.34025332915005,48.827826715490104,1.8898254981904177,4.718898913184025,474200415000.0,896156035519.4778,213872217000.0
2024Q1,BIMAS,BİM,143308140000.0,24659733000.0,1658360000.0,5356072000.0,6179081000.0,17.20748940011363,1.157198746700641,3.7374513408659134,4.3117446085058395,49.1588760300355,328.29456930426255,98.72159273638523,1.6424985735408877,5.429469244708736,521431041000.0,856449741042.4401,189039353000.0
2024Q2,BIMAS,BİM,299460755000.0,50871626000.0,1948831000.0,11787151000.0,11693975000.0,16.987743853113574,0.6507800997162383,3.936125453233429,3.9050108586014884,51.56584519005616,125.26314763519726,40.196918706353955,1.5151314214389107,5.885889080862009,576083177000.0,872841722835.0536,200580937000.0
2024Q3,BIMAS,BİM,489801496000.0,84436368000.0,3292340000.0,18502124000.0,19215248000.0,17.238895489204467,0.6721784287894457,3.7774739667189583,3.9230684587374145,48.02520801754542,39.20407133442332,11.48373214288927,1.391031384219276,6.410995172854016,633111313000.0,880677706087.2733,223945201000.0
2024Q4,BIMAS,BİM,680072865516.0,118872662936.0,6939553936.0,24362918475.0,29469495506.0,17.479400952985575,1.0204132950863534,3.5823982561802143,4.333285005223705,43.41465000953235,9.25213216812284,42.214624633345885,1.308985329475488,6.812830738975226,680072865516.0,890205403934.8005,308708006362.0
2025Q1,BIMAS,BİM,193317926000.0,33840204000.0,-1698200000.0,3546984000.0,6391026000.0,17.50494881680036,-0.8784493166970972,1.8347931169093963,3.3059665661838316,34.89668207263035,-33.77639434271982,3.430040810275825,1.1893750016274602,7.497967821179674,730082651516.0,868342054835.023,286716912000.0
2025Q2,BIMAS,BİM,309834891000.0,58896109000.0,2401768000.0,5553111000.0,14715286000.0,19.008869146373833,0.775176737599898,1.792280715085765,4.749396025898194,3.464272305063809,-52.88843758767492,25.83647562099287,1.1219609689505292,7.948489953139749,690447001516.0,774654586829.8789,295464071000.0
2025Q3,BIMAS,BİM,512767099000.0,99349891000.0,8753607000.0,11366974000.0,28697819000.0,19.375246811613394,1.707131174576394,2.2167908241710337,5.596657635789538,4.688757218495709,-38.56395081991667,49.34919913601947,1.043628204465,8.54508861619914,703038468516.0,733710774567.1765,326727123000.0
